adjacent_lower_tolerance,adjacent_upper_tolerance,breakout_anchor_difference,detection_shift,invalidation_anchor_difference,lineage_class,lower_first_detected_index,lower_lifecycle_ordinal,lower_terminal_index,lower_tolerance,market,root_swing_identity_sha256,symbol,terminal_shift,upper_first_detected_index,upper_lifecycle_ordinal,upper_terminal_index,upper_tolerance
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,266,1,268,0.04,CN,sha256:71d5d46f1775e745bc1b79f28187d48b021756008b73cb1857d83693a8b342d9,002352.SZ,0,266,1,268,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,315,2,351,0.04,CN,sha256:d71ec1f8c81a1ddf4124c718b158d10a900501bedd30948accac470163f35e0a,002352.SZ,0,315,2,351,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,478,3,479,0.04,CN,sha256:21268b24b10f68ec99a0462e871bda42dab412e7cb02c201de69c6846f1c53d4,002352.SZ,0,478,3,479,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,516,4,516,0.04,CN,sha256:1b67c1ab8781772b408a875e7fc4fb6d440d4b0e08e0e5f4a4ddc2b3cf5588de,002352.SZ,0,516,4,516,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,685,5,714,0.04,CN,sha256:bea399359422c7ae2106b8a493d3861cd48ebef23b62212b14fddfb7a017200e,002352.SZ,0,685,5,714,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,819,6,821,0.04,CN,sha256:6f0a276ddd9001a0913be3f8dfa4c84986358563754f6a863002b10ba2ceb70a,002352.SZ,0,819,6,821,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1401,7,1423,0.04,CN,sha256:056e251ef305423f009077038fd30bbad3681003878f91d7804edd80a79f0778,002352.SZ,0,1401,10,1423,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1489,8,1490,0.04,CN,sha256:d535e6e7b36adb602fa549f5444c3fbdfbc7f36e97897bbca3b680411814a8c4,002352.SZ,0,1489,11,1490,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1679,9,1679,0.04,CN,sha256:a8532f672ad7d31ea481b35816010ffcbed1a38a16cd291afda9ad5b5e0019be,002352.SZ,0,1679,12,1679,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1700,10,1701,0.04,CN,sha256:5a6e9199b72d058b0968780c243154b919566e9475e683d5a97e6e83c5b94354,002352.SZ,0,1700,13,1701,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1858,11,1860,0.04,CN,sha256:5dcc71a97d553c23479bab5f88b398afa3cc7dbefb0f8b55f638d0fd8c580240,002352.SZ,0,1858,14,1860,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1977,12,1979,0.04,CN,sha256:34149e151aef81591965164ad5afeb8c91ff2c5a3bac3dd0ba3398baa4840aa7,002352.SZ,0,1977,15,1979,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2105,13,2106,0.04,CN,sha256:af542ad33687a1ce79f013cb672518e2a93bd2670d8e19651b9d31850925e437,002352.SZ,0,2105,16,2106,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2150,14,2157,0.04,CN,sha256:89e7ffe1c1a286606a3434b18b6d48c0fa031ccc8287b60ccdf12f20f4e5541f,002352.SZ,0,2150,17,2157,0.05
0.04,0.05,,,,ADDED_LIFECYCLE,,,,,CN,sha256:81928e74b0305b31ebf799d6d3fb75d4e04d2959390d0c9881b1098af3400357,002352.SZ,,1215,7,1217,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:3a4ddf6da0d159552a18278a2de09ba313ff30808964ca353749ff0bf5520913,002352.SZ,,1309,8,1330,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:29b8524294ee4501662c482bc25bc645a85cf35fdd6b840f4a18a30a0287ee68,002352.SZ,,1361,9,1362,0.05
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,230,1,239,0.03,CN,sha256:451a2e743e507aaebb7a02c2943cf9b60e98e6fff15befb5c0249adda8b98b4e,002407.SZ,0,230,1,239,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,421,2,422,0.03,CN,sha256:f2a3edd64fc2f55614ca49f61fed954a10deea8d3c31ac4fd587640ad1d68004,002407.SZ,0,421,4,422,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,679,3,680,0.03,CN,sha256:039851921a52b52c9646ff32f44e6fc2e7997c98cdd2f99ae5cac33ca73205eb,002407.SZ,0,679,5,680,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,843,4,851,0.03,CN,sha256:67168ef462c6794a0da4c9b069e29eab82c19ba646635d6f938ec475f1e0e6b9,002407.SZ,0,843,6,851,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,899,5,903,0.03,CN,sha256:4f7351c322bae1d8b2f3b49581c3d44ca13909593485f421ec928ba4b08888ab,002407.SZ,0,899,7,903,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1932,6,1938,0.03,CN,sha256:2ba9ac7126770f095d9c684b3cd5cdb4be2a82acbf74a5d783603788585484fb,002407.SZ,0,1932,8,1938,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2076,7,2076,0.03,CN,sha256:9ce150be4097851f294aa37d2e0c15104a97b618a8eb87f16744205b39b1140a,002407.SZ,0,2076,9,2076,0.04
0.03,0.04,,,,ADDED_LIFECYCLE,,,,,CN,sha256:395d8ef09326e9756637fbf16c6441b5988a2fadc733e1ad7523f4f7afd3d7b8,002407.SZ,,266,2,267,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:051773feed06b0947edcb65d5a40ea7ac28fca291ba4caa67c6442c0ee3d6b27,002407.SZ,,333,3,350,0.04
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,230,1,239,0.04,CN,sha256:451a2e743e507aaebb7a02c2943cf9b60e98e6fff15befb5c0249adda8b98b4e,002407.SZ,0,230,1,239,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,266,2,267,0.04,CN,sha256:395d8ef09326e9756637fbf16c6441b5988a2fadc733e1ad7523f4f7afd3d7b8,002407.SZ,0,266,2,267,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,333,3,350,0.04,CN,sha256:051773feed06b0947edcb65d5a40ea7ac28fca291ba4caa67c6442c0ee3d6b27,002407.SZ,0,333,3,350,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,421,4,422,0.04,CN,sha256:f2a3edd64fc2f55614ca49f61fed954a10deea8d3c31ac4fd587640ad1d68004,002407.SZ,0,421,4,422,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,679,5,680,0.04,CN,sha256:039851921a52b52c9646ff32f44e6fc2e7997c98cdd2f99ae5cac33ca73205eb,002407.SZ,0,679,6,680,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,843,6,851,0.04,CN,sha256:67168ef462c6794a0da4c9b069e29eab82c19ba646635d6f938ec475f1e0e6b9,002407.SZ,,,,,
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,899,7,903,0.04,CN,sha256:4f7351c322bae1d8b2f3b49581c3d44ca13909593485f421ec928ba4b08888ab,002407.SZ,0,899,8,903,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1932,8,1938,0.04,CN,sha256:2ba9ac7126770f095d9c684b3cd5cdb4be2a82acbf74a5d783603788585484fb,002407.SZ,0,1932,10,1938,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2076,9,2076,0.04,CN,sha256:9ce150be4097851f294aa37d2e0c15104a97b618a8eb87f16744205b39b1140a,002407.SZ,0,2076,11,2076,0.05
0.04,0.05,,,,ADDED_LIFECYCLE,,,,,CN,sha256:939b7e0da96c82afd036decd6b8c3eaccfa33d7413cb3bcdfcd6d093aaf22bff,002407.SZ,,602,5,605,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:cb97147a18c1437a163d01493d56fd388821e9ee0546dd48cea37a31fcdea36e,002407.SZ,,834,7,853,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:5177fa02f4737f8e9322d0f845c7dea05e2ed65baf0d68ce24749b5cc3eec9e4,002407.SZ,,957,9,965,0.05
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,558,1,558,0.03,CN,sha256:3fe34ed62252fecf7e55d94ed5c753340b8878360a8f5bf2a006c30b6b997e41,002756.SZ,0,558,1,558,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,607,2,610,0.03,CN,sha256:731878ce00f19af4c5651b340e9d356cbd20b8b0b4a1fb4a163c71f7779fe640,002756.SZ,0,607,2,610,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1662,3,1679,0.03,CN,sha256:b27d37cd8b908ddc6469002f6fb6d9fdefa761cf44f952de35936676588e32b7,002756.SZ,0,1662,3,1679,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2130,4,2130,0.03,CN,sha256:f03e03093ef0362bb6a9d75368f4f240a53e1bce998c86f9d45d7c9622dfe18b,002756.SZ,0,2130,4,2130,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2274,5,2275,0.03,CN,sha256:9d3c13209c10ef97c9600006a8401eb6d12b21bbc00c1e03f6a0b1a5729ef669,002756.SZ,0,2274,5,2275,0.04
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,558,1,558,0.04,CN,sha256:3fe34ed62252fecf7e55d94ed5c753340b8878360a8f5bf2a006c30b6b997e41,002756.SZ,0,558,3,558,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,607,2,610,0.04,CN,sha256:731878ce00f19af4c5651b340e9d356cbd20b8b0b4a1fb4a163c71f7779fe640,002756.SZ,0,607,4,610,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1662,3,1679,0.04,CN,sha256:b27d37cd8b908ddc6469002f6fb6d9fdefa761cf44f952de35936676588e32b7,002756.SZ,0,1662,7,1679,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2130,4,2130,0.04,CN,sha256:f03e03093ef0362bb6a9d75368f4f240a53e1bce998c86f9d45d7c9622dfe18b,002756.SZ,0,2130,8,2130,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2274,5,2275,0.04,CN,sha256:9d3c13209c10ef97c9600006a8401eb6d12b21bbc00c1e03f6a0b1a5729ef669,002756.SZ,0,2274,9,2275,0.05
0.04,0.05,,,,ADDED_LIFECYCLE,,,,,CN,sha256:336db05e83389e34745497ad834030c079f29a58b4b676f95bba9fac88376074,002756.SZ,,104,1,241,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:6c88e17873d5a71004ac21658cc939728ba9f1828adecfdc747332e1d63cf247,002756.SZ,,477,2,484,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:52fd42ee757a895dfedb5562ec890e0e6d82128dc48d72ca9cd6bb0fac8019e8,002756.SZ,,832,5,832,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:77c4ef24b68384c892c224b9b1f876dbbb06e598ed0335ecdacc7b1e2df97341,002756.SZ,,1141,6,1141,0.05
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,300,1,332,0.03,CN,sha256:286197ffeb86800ead32e44f06b3b1a6744d667f44c8bfda176654cdb956052b,002768.SZ,0,300,1,332,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,442,2,444,0.03,CN,sha256:3d5e9cc347a49a64397bcb89561d4e2d837a6fb7bd9cba7e12b854462383a6b6,002768.SZ,,,,,
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,912,3,913,0.03,CN,sha256:95134fbb4cfd1ad04c2cf23656b407081dcc70b9828366fd87a666428748760c,002768.SZ,0,912,3,913,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,958,4,964,0.03,CN,sha256:4407432f84a805312c1e10bf843aeff60f7e110b4c14c0cf3b6e6e6e2610e14d,002768.SZ,0,958,5,964,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1078,5,1081,0.03,CN,sha256:ce6c8be58410c0b439829145af13f9a1853f3a36c3fb19cda9f283e42c47ac64,002768.SZ,0,1078,7,1081,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1472,6,1524,0.03,CN,sha256:693d650c932e91832ecf7ed3eb2e3d6719799a8fd3c829af7fbb43c13f9f5b66,002768.SZ,0,1472,8,1524,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1597,7,1597,0.03,CN,sha256:43d681f456bac14c69cd34b025c3acfaa5eefd568eb45b9c731667e5db713099,002768.SZ,0,1597,9,1597,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1785,8,1785,0.03,CN,sha256:9df482e1c666b61e85601008cf1fc88192667fcc62f11a450ebfbd63f12d7f1b,002768.SZ,0,1785,10,1785,0.04
0.03,0.04,,,,ADDED_LIFECYCLE,,,,,CN,sha256:574fb653044457cc855751b87d119a4ba3ae79072ef1a4898178bbc791a3ff37,002768.SZ,,406,2,456,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:d66b5bf9a90c4a17bc4ac834137c1e58029a9fe3d7a4d8580e2097521a44b029,002768.SZ,,935,4,936,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:4b388835c2f4fee288a691ca00e75f6c80aac985ad9136cd2cf695e33b3b70dd,002768.SZ,,1042,6,1043,0.04
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,300,1,332,0.04,CN,sha256:286197ffeb86800ead32e44f06b3b1a6744d667f44c8bfda176654cdb956052b,002768.SZ,0,300,1,332,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,406,2,456,0.04,CN,sha256:574fb653044457cc855751b87d119a4ba3ae79072ef1a4898178bbc791a3ff37,002768.SZ,0,406,2,456,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,912,3,913,0.04,CN,sha256:95134fbb4cfd1ad04c2cf23656b407081dcc70b9828366fd87a666428748760c,002768.SZ,0,912,3,913,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,935,4,936,0.04,CN,sha256:d66b5bf9a90c4a17bc4ac834137c1e58029a9fe3d7a4d8580e2097521a44b029,002768.SZ,0,935,4,936,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,958,5,964,0.04,CN,sha256:4407432f84a805312c1e10bf843aeff60f7e110b4c14c0cf3b6e6e6e2610e14d,002768.SZ,0,958,5,964,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1042,6,1043,0.04,CN,sha256:4b388835c2f4fee288a691ca00e75f6c80aac985ad9136cd2cf695e33b3b70dd,002768.SZ,0,1042,6,1043,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,1078,7,1081,0.04,CN,sha256:ce6c8be58410c0b439829145af13f9a1853f3a36c3fb19cda9f283e42c47ac64,002768.SZ,,,,,
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1472,8,1524,0.04,CN,sha256:693d650c932e91832ecf7ed3eb2e3d6719799a8fd3c829af7fbb43c13f9f5b66,002768.SZ,0,1472,8,1524,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1597,9,1597,0.04,CN,sha256:43d681f456bac14c69cd34b025c3acfaa5eefd568eb45b9c731667e5db713099,002768.SZ,0,1597,9,1597,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1785,10,1785,0.04,CN,sha256:9df482e1c666b61e85601008cf1fc88192667fcc62f11a450ebfbd63f12d7f1b,002768.SZ,0,1785,10,1785,0.05
0.04,0.05,,,,ADDED_LIFECYCLE,,,,,CN,sha256:bbea4e8b19083a5d516c6d22340c2979684d8d0bea1d1b8a690a76da8b190400,002768.SZ,,1065,7,1081,0.05
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1045,1,1046,0.03,CN,sha256:b66b9e8528a93303177f052552442c9bc863c71831b7594d60f19776d4abc22d,002913.SZ,0,1045,2,1046,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,1114,2,1138,0.03,CN,sha256:ecfd2a0b775008cb9376872f3156dd257a5e7de2f5442e1604563f321c3b33e2,002913.SZ,,,,,
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1222,3,1226,0.03,CN,sha256:4e4876d433a347996e665efc9e7f061cb2e930997f973a729166d5db844aa8e1,002913.SZ,0,1222,4,1226,0.04
0.03,0.04,,,,ADDED_LIFECYCLE,,,,,CN,sha256:be052691464b55e9b89a8c1b2322c7c208614b50ee24b563f864e87718d8ce60,002913.SZ,,759,1,760,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:52d642fb7f4c0bcd093752d44f914777038f17f4cec7cf3cc7494753fb9d6a07,002913.SZ,,1104,3,1108,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:f86c7f962dcf4f934a5207ce6f3173141b45cb3794873607cd861fc3ef9ac13e,002913.SZ,,1981,5,1983,0.04
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,759,1,760,0.04,CN,sha256:be052691464b55e9b89a8c1b2322c7c208614b50ee24b563f864e87718d8ce60,002913.SZ,0,759,4,760,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1045,2,1046,0.04,CN,sha256:b66b9e8528a93303177f052552442c9bc863c71831b7594d60f19776d4abc22d,002913.SZ,0,1045,6,1046,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1104,3,1108,0.04,CN,sha256:52d642fb7f4c0bcd093752d44f914777038f17f4cec7cf3cc7494753fb9d6a07,002913.SZ,0,1104,7,1108,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1222,4,1226,0.04,CN,sha256:4e4876d433a347996e665efc9e7f061cb2e930997f973a729166d5db844aa8e1,002913.SZ,0,1222,8,1226,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1981,5,1983,0.04,CN,sha256:f86c7f962dcf4f934a5207ce6f3173141b45cb3794873607cd861fc3ef9ac13e,002913.SZ,0,1981,9,1983,0.05
0.04,0.05,,,,ADDED_LIFECYCLE,,,,,CN,sha256:ad883c447f8dd08d13a90ad5763bf9b689e080f53fa5ac72f3f0d4a30f8d3381,002913.SZ,,397,1,404,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:3169c7e182722cc388bb7049fc11bd93d0f5cd22b08a864d783487e6afbb6a5d,002913.SZ,,627,2,631,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:7e671708c5efa621dea6bc79a978966dc14ab5b8da9af09532d0af4d579cdd83,002913.SZ,,694,3,694,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:5a4afdcfbfc10e039ded26c03f43b874b1160f6a436e162d8d3c8d15692cf64a,002913.SZ,,896,5,896,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:b2efc0be2939c8a41d5172a7330bb0be910666338935530e49c777a9eecc7966,002913.SZ,,2069,10,2069,0.05
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,133,1,160,0.03,CN,sha256:ee310be0a186d06d3523deaf4b9ffa0437b0c8587d565f3714cfcd5e1a5fcbdb,600009.SH,0,133,1,160,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,488,2,503,0.03,CN,sha256:bd244f0514841158868c0e7ba9ce62116de3fecd674d17b695c41160b1d0551f,600009.SH,0,488,2,503,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1004,3,1005,0.03,CN,sha256:eb1342956c1888cd88d541fb1ae4023991181be43e7b6e0fdab810359c611f2c,600009.SH,0,1004,4,1005,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1034,4,1048,0.03,CN,sha256:8a8febda5c2ecc5dee72bdd185e881970277fd3fb874c995970cde891ef14630,600009.SH,0,1034,5,1048,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1401,5,1414,0.03,CN,sha256:1fa0ade1dbb539461c6468da37b85348f3e324ea608e820df2628806239776c6,600009.SH,0,1401,6,1414,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1597,6,1612,0.03,CN,sha256:dcfe987130f372dfd209f8c96d4f6871cc99547c2a35cfe2e587b1c5dffeb733,600009.SH,0,1597,8,1612,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1780,7,1799,0.03,CN,sha256:3f03688f07994814f52b3512c8074c5697c01f39f3d64f97b807b92ab9bed185,600009.SH,0,1780,9,1799,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1977,8,1984,0.03,CN,sha256:05e20e0feacd44945c102fac93e3b5f67f81dd6a448422572f1c56360e082740,600009.SH,0,1977,11,1984,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2000,9,2003,0.03,CN,sha256:081664b471520c9ef411773b442b5f2dc03aee79229513f94788fef4d36255e8,600009.SH,0,2000,12,2003,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2059,10,2060,0.03,CN,sha256:f5ec27983ab8063f7848c5f76ff31a4e1b4aeaeed649cd9a94bd883244a06830,600009.SH,0,2059,13,2060,0.04
0.03,0.04,,,,ADDED_LIFECYCLE,,,,,CN,sha256:7835d2db1e5e75da77fbc0b9581506a554587e074a24fd71b8c15875b1566445,600009.SH,,787,3,788,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:1941d3803234a9c20d3047a617ec1f5e4a28e7579ef74e8f8a09b6dac8ff1f33,600009.SH,,1439,7,1468,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:1087430f50156bd3564880f6d46995e27f6fb7ec03f747efbd88273421d748e6,600009.SH,,1932,10,1943,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:7aa6207c464453b3ede3260c47a2f2e3353c839691a44103e3f1972190fb9f0c,600009.SH,,2082,14,2099,0.04
0.04,0.05,,,,CASCADE_DESCENDANT,133,1,160,0.04,CN,sha256:ee310be0a186d06d3523deaf4b9ffa0437b0c8587d565f3714cfcd5e1a5fcbdb,600009.SH,,,,,
0.04,0.05,,,,CASCADE_DESCENDANT,488,2,503,0.04,CN,sha256:bd244f0514841158868c0e7ba9ce62116de3fecd674d17b695c41160b1d0551f,600009.SH,,,,,
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,787,3,788,0.04,CN,sha256:7835d2db1e5e75da77fbc0b9581506a554587e074a24fd71b8c15875b1566445,600009.SH,0,787,3,788,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1004,4,1005,0.04,CN,sha256:eb1342956c1888cd88d541fb1ae4023991181be43e7b6e0fdab810359c611f2c,600009.SH,0,1004,4,1005,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1034,5,1048,0.04,CN,sha256:8a8febda5c2ecc5dee72bdd185e881970277fd3fb874c995970cde891ef14630,600009.SH,0,1034,5,1048,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1401,6,1414,0.04,CN,sha256:1fa0ade1dbb539461c6468da37b85348f3e324ea608e820df2628806239776c6,600009.SH,0,1401,6,1414,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1439,7,1468,0.04,CN,sha256:1941d3803234a9c20d3047a617ec1f5e4a28e7579ef74e8f8a09b6dac8ff1f33,600009.SH,0,1439,7,1468,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,1597,8,1612,0.04,CN,sha256:dcfe987130f372dfd209f8c96d4f6871cc99547c2a35cfe2e587b1c5dffeb733,600009.SH,,,,,
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1780,9,1799,0.04,CN,sha256:3f03688f07994814f52b3512c8074c5697c01f39f3d64f97b807b92ab9bed185,600009.SH,0,1780,9,1799,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1932,10,1943,0.04,CN,sha256:1087430f50156bd3564880f6d46995e27f6fb7ec03f747efbd88273421d748e6,600009.SH,0,1932,10,1943,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1977,11,1984,0.04,CN,sha256:05e20e0feacd44945c102fac93e3b5f67f81dd6a448422572f1c56360e082740,600009.SH,0,1977,11,1984,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2000,12,2003,0.04,CN,sha256:081664b471520c9ef411773b442b5f2dc03aee79229513f94788fef4d36255e8,600009.SH,0,2000,12,2003,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2059,13,2060,0.04,CN,sha256:f5ec27983ab8063f7848c5f76ff31a4e1b4aeaeed649cd9a94bd883244a06830,600009.SH,0,2059,13,2060,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2082,14,2099,0.04,CN,sha256:7aa6207c464453b3ede3260c47a2f2e3353c839691a44103e3f1972190fb9f0c,600009.SH,0,2082,14,2099,0.05
0.04,0.05,,,,ADDED_LIFECYCLE,,,,,CN,sha256:b5aadc0abb93c0b68ede407f01b2a34959b285c5dfc29028be95f36203433dfa,600009.SH,,127,1,167,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:d62c4c483d0db9a3e0e522f64f76616076b1403091ce3ada1a9900b3a8ba0074,600009.SH,,485,2,503,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:810c4272d60c5232eb0e0af6acdbcb1a438335811ba2f6e7c2b151f42a044794,600009.SH,,1585,8,1590,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:e51cd10d793bc3a9328c911a209655652f6c8652b36c242b99705e2087d20889,600009.SH,,2193,15,2206,0.05
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,595,1,596,0.03,CN,sha256:1f532ad8096dd26ba7ea2717c79b9f6d7b9701ced3439a719811fda8c4e53d98,600018.SH,0,595,3,596,0.04
